ID_Exp;Exp;ID_GBX;Insect_family;Hmin;Smin;Vmin;Hmax;Smax;Vmax;Blur;Erodex;Erodey;Areamin;Areamax;algo_number;widthmean;heightmean;method;real_number;precision;absolute_precision;size_conservation;counting_zone;density;overlap;variability;colored_variability;real_density
Box1;gblack;ID;mouches;0;0;45;179;255;255;35;1;1;45;4813;213;33,48826291;57,92018779;GBX;213;0;0;2;3;2;0;0;0;413144,6995
Box2;gblack;ID;pap;0;0;108;179;255;255;87;1;1;5387;132371;81;212,2469136;184,8271605;GBX;88;7,954545455;7,954545455;0;0;2;3;0;0;3452151,504
Box3;gblack;ID2422;D;0;0;39;179;255;255;27;1;1;292;31288;81;67,77777778;188,2222222;GBX;65;-24,61538462;24,61538462;2;1;0;2;1;0;829223,4568
Box4;gblack;ID2593;A;0;0;83;179;73;255;51;1;1;1055;194946;87;111,091954;134,2183908;GBX;95;8,421052632;8,421052632;3;2;0;1;1;0;1416505,414
Box5;gblack;ID7571;Oedemeridae;0;0;86;179;88;255;43;1;1;404;12034;375;56,624;82,58666667;GBX;437;14,18764302;14,18764302;3;3;2;0;0;0;2043581,3
Box6;gblack;ID7685;Arctiidae_Zygaenidea;0;0;96;179;255;255;15;1;1;20000;175692;83;290,9036145;415,0361446;GBX;137;39,41605839;39,41605839;3;3;2;1;1;3;16540765,5
Box7;gblack;ID7693;Notodontidae;0;0;93;179;255;255;55;1;1;10774;2000000;75;295,92;356,68;GBX;73;-2,739726027;2,739726027;1;3;1;0;0;0;7705058,429
Box8;gblack;ID7712;Cetoniidae;0;0;51;179;97;255;29;1;1;10123;2000000;272;314,7058824;191,5441176;GBX;273;0,366300366;0,366300366;3;3;2;1;0;0;16456456,53
Box9;gblack;ID7716;Buprestidae;0;0;43;179;255;255;17;1;1;606;89049;504;130,3928571;71,48412698;GBX;432;-16,66666667;16,66666667;2;3;2;0;3;0;4026680,449
Box10;gblack;ID7585;Bombyliidae;0;0;49;179;255;255;25;1;41;696;2000000;271;72,36162362;89,76752768;GBX;278;2,517985612;2,517985612;1;3;2;3;0;0;1805811,286
Box11;gblack;ID7589;Syrphidae;1;13;90;179;255;255;25;1;35;1122;2000000;127;118,3228346;150,8346457;GBX;148;14,18918919;14,18918919;3;3;2;2;1;0;2641383,06
Box12;gblack;ID7708;Geotrupidae_Scarabaeidae;0;0;39;179;86;255;27;1;1;3681;2000000;103;265,8543689;179,8252427;GBX;129;20,15503876;20,15503876;3;3;1;2;3;0;6167145,108
Box13;gblack;ID7710;Lucanidae_Trogidae;0;0;53;179;106;255;59;1;1;1661;2000000;92;298,25;158,0326087;GBX;91;-1,098901099;1,098901099;3;2;2;1;3;0;4289123,524
Box14;gblack;ID7711;Scarabaeidae;0;0;72;179;83;255;25;1;1;4377;2000000;187;273,2139037;180,1657754;GBX;158;-18,35443038;18,35443038;3;3;2;1;3;2;7777359,581
Box15;gblack;ID7717;Elateridae;0;0;45;179;133;255;19;1;1;1414;31288;272;170,0257353;64,41911765;GBX;292;6,849315068;6,849315068;3;3;2;0;2;0;3198249,091
Box16;gblack;ID7720;Cerambycidae;0;0;72;179;79;255;57;1;1;1257;2000000;193;165,8031088;87,51295337;GBX;230;16,08695652;16,08695652;3;3;2;0;3;1;3337281,538
Box17;gblack;ID7725;Cicindelidae_Carabidae;0;0;66;179;124;255;37;1;1;3906;2000000;204;300,504902;166,0882353;GBX;218;6,422018349;6,422018349;3;1;2;0;2;2;10880451,69
Box18;gblack;ID7726;Carabidae;0;0;64;179;164;255;97;1;1;11448;2000000;144;428,3541667;215,875;GBX;156;7,692307692;7,692307692;3;1;2;0;1;0;14425469,09
Box19;gblack;ID7743;Curculionidae;0;0;64;179;255;255;31;1;1;539;2000000;550;127,8436364;92,86363636;GBX;459;-19,82570806;19,82570806;3;2;3;0;2;0;5449259,456
Box20;gblack;ID7749;Pieridae_Nymphalidae;0;0;90;179;75;255;23;1;1;20000;2000000;35;557,3428571;477,0857143;GBX;43;18,60465116;18,60465116;0;3;1;3;0;3;11433713,55
Box21;gblack;ID7750;Nymphalidae;0;0;0;179;73;255;29;1;1;20000;2000000;47;561,787234;514,8085106;GBX;52;9,615384615;9,615384615;1;1;1;3;0;2;15039068,16
Box22;gblack;ID7757;Lycaenidae;0;0;69;179;136;255;29;1;1;20000;2000000;117;334,2222222;390,7179487;GBX;117;0;0;3;2;1;0;0;1;15278634,67
Box23;gblack;ID7759;Hydrophilidae;0;0;32;179;89;255;31;1;1;382;2000000;266;171,3609023;95,72180451;GBX;267;0,374531835;0,374531835;3;2;2;0;3;0;4379594,268
Box24;gblack;ID7790;Cerambycidae;0;0;31;179;116;255;31;1;1;2424;55355;198;81,73737374;171,0808081;GBX;253;21,73913043;21,73913043;3;3;3;1;0;1;3537875,075
Box25;gblack;ID7790;Cerambycidae;0;0;31;179;116;255;31;1;1;2424;55355;197;81,68020305;169,9847716;GBX;253;22,13438735;22,13438735;3;3;3;1;0;1;3512750,836
Box26;gblack;ID7805;Nitidulidae;0;0;28;179;255;255;15;1;1;190;2000000;533;22,8424015;31,74296435;GBX;592;9,966216216;9,966216216;3;2;3;0;0;0;429250,6377
Box27;gblack;ID7852;Chrysomelidae;0;0;57;179;110;255;31;1;1;337;26474;236;55,40677966;82,93644068;GBX;218;-8,256880734;8,256880734;3;1;2;0;0;0;1001762,559
Box28;gblack;ID7862;Ichneumonidae_Tenthredinidae;0;0;35;179;107;255;21;1;13;247;24067;318;57,02515723;96,57861635;GBX;358;11,17318436;11,17318436;2;1;3;3;3;0;1971653,06
Box29;gblack;ID7863;Pompilidae;0;0;52;179;110;255;29;1;1;314;16847;425;44,82823529;84,32941176;GBX;459;7,407407407;7,407407407;3;1;3;1;1;0;1735175,469
Box30;gblack;ID7868;Sphecidae;0;0;76;179;114;255;37;1;1;1190;33694;205;69,50243902;131,6780488;GBX;215;4,651162791;4,651162791;2;1;2;2;2;0;1967668,295
Box31;gblack;ID7895;Vespidae;0;0;65;179;67;255;29;1;1;4512;28638;241;113,2904564;170,0248963;GBX;385;37,4025974;37,4025974;3;1;3;3;0;0;7415946,27
Box32;gblack;NA;Acraeidae;14;0;0;179;208;255;35;1;1;50000;2000000;83;607,0963855;410,4819277;TERVUREN;90;7,777777778;7,777777778;2;NA;2;3;0;0;22428188,52
Box33;gblack;NA;Acraeidae;15;0;0;179;231;255;33;85;1;34566;2000000;89;744,7640449;391,8202247;TERVUREN;94;5,319148936;5,319148936;2;NA;2;3;0;0;27430479,85
Box34;gblack;NA;Acraeidae;17;0;0;179;255;255;39;25;1;11522;2000000;168;503,172619;347,0297619;TERVUREN;160;-5;5;1;NA;2;3;0;0;27938539,87
Box35;gblack;NA;Alticidae;0;0;0;179;255;155;1;1;1;5334;2000000;340;160,6852941;284,1205882;TERVUREN;368;7,608695652;7,608695652;0;NA;2;0;0;0;16800672,11
Box36;gblack;NA;Anthribidae;0;0;56;179;255;255;25;1;1;100;2000000;199;29,71859296;90,04020101;TERVUREN;207;3,8647343;3,8647343;3;NA;2;0;0;0;553904,6934
Box37;gblack;NA;Aphodiidae;0;0;90;133;141;255;29;1;1;2845;2000000;432;119,9375;199,9837963;TERVUREN;392;-10,20408163;10,20408163;3;NA;3;0;0;0;9402338,175
Box38;gblack;NA;Aphodiidae;0;0;108;179;84;255;65;1;1;142;2000000;449;59,38084633;121,9621381;TERVUREN;393;-14,24936387;14,24936387;3;NA;3;0;1;0;2846190,487
Box39;gblack;NA;Aphodiidae;0;0;83;179;101;255;43;1;1;8962;2000000;385;140,4675325;233,1194805;TERVUREN;392;1,785714286;1,785714286;3;NA;3;0;0;0;12836321,53
Box40;gblack;NA;Carabidae;0;22;35;179;255;255;39;1;47;5192;2000000;27;135,8148148;316,2962963;TERVUREN;26;-3,846153846;3,846153846;2;NA;0;1;1;0;1116900,796
Box41;gblack;NA;Cetoniinae;0;0;69;179;130;255;21;1;1;50000;2000000;17;820,1176471;1320,588235;TERVUREN;15;-13,33333333;13,33333333;3;NA;0;0;0;0;16245565,74
Box42;gblack;NA;Cetoniinae;0;0;74;179;105;255;1;1;1;50000;2000000;27;582,7037037;1131,074074;TERVUREN;26;-3,846153846;3,846153846;3;NA;1;0;0;0;17136107,36
Box43;gblack;NA;Cetoniinae;0;0;80;179;116;255;41;1;1;50000;2000000;24;607,375;1015,291667;TERVUREN;24;0;0;3;NA;1;0;0;0;14799906,62
Box44;gblack;NA;Cetoniinae;0;0;85;179;123;255;1;1;1;50000;2000000;111;390,6486486;615,7207207;TERVUREN;138;19,56521739;19,56521739;3;NA;3;2;0;0;33193204,51
Box45;gblack;NA;Cetoniinae;0;0;0;28;255;255;39;1;1;17568;2000000;185;225,1837838;378,9135135;TERVUREN;186;0,537634409;0,537634409;2;NA;3;3;0;0;15870483,24
Box46;gblack;NA;Cetoniinae;16;0;0;179;153;255;29;1;135;6046;2000000;359;171,4707521;193,632312;TERVUREN;378;5,026455026;5,026455026;2;NA;3;3;0;0;12550461,15
Box47;gblack;NA;Cetoniinae;0;0;0;88;255;255;1;1;1;9957;2000000;242;236,9256198;369,8099174;TERVUREN;252;3,968253968;3,968253968;3;NA;3;3;0;0;22079595,86
Box48;gblack;NA;Coprini;9;0;31;118;117;255;45;1;39;50000;2000000;49;562,3877551;819,3877551;TERVUREN;48;-2,083333333;2,083333333;3;NA;2;2;0;0;22119054,73
Box49;gblack;NA;Danaidae;16;0;0;179;255;255;83;413;1;14509;2000000;76;422,1315789;117;TERVUREN;69;-10,14492754;10,14492754;0;NA;3;3;0;0;3407868,237
Box50;gblack;NA;Dytiscidae;0;0;83;114;138;255;25;1;1;12091;2000000;278;138,823741;257,7517986;TERVUREN;273;-1,831501832;1,831501832;3;NA;3;0;0;0;9768504,817
Box51;gblack;NA;Hydrophilidae;0;0;86;179;255;255;11;1;1;16501;2000000;204;226,5294118;400,7107843;TERVUREN;223;8,520179372;8,520179372;3;NA;3;2;0;0;20242329,55
Box52;gblack;NA;Nymphalidae;16;0;0;179;255;255;53;1;75;12660;2000000;72;222,9027778;381,25;TERVUREN;70;-2,857142857;2,857142857;0;NA;3;3;0;0;5948717,882
Box53;gblack;NA;Nymphalidae;18;0;0;179;255;255;15;139;1;50000;2000000;40;659,675;490,775;TERVUREN;40;0;0;1;NA;3;3;0;0;12950079,93
Box54;gblack;NA;Nymphalidae;0;0;92;179;255;255;67;1;1;2205;2000000;78;84,56410256;154,2435897;TERVUREN;63;-23,80952381;23,80952381;0;NA;2;3;0;3;821738,6568
Box55;gblack;NA;Nymphalidae;0;0;64;179;255;255;47;1;1;34780;2000000;50;874,76;423,84;TERVUREN;52;3,846153846;3,846153846;1;NA;3;3;0;0;19279430,48
Box56;gblack;NA;Polycentropopidae;0;0;0;179;78;255;61;1;1;0;2000000;46;137,3913043;109,2826087;TERVUREN;34;-35,29411765;35,29411765;2;NA;0;0;1;0;510492,3251
Box57;gblack;NA;Pterostichinae;15;0;37;179;255;255;15;1;1;5619;2000000;389;86,06426735;197,8766067;TERVUREN;392;0,765306122;0,765306122;3;NA;3;1;0;0;6675801,231
Box58;gblack;NA;Scarabaeidae;0;0;64;117;255;255;51;1;53;2987;2000000;74;187,3108108;259,1216216;TERVUREN;67;-10,44776119;10,44776119;3;NA;1;1;3;0;3251930,83
Box59;gblack;NA;Sphingidae;19;0;0;179;255;255;25;103;1;50000;2000000;63;791,3333333;328,6349206;TERVUREN;59;-6,779661017;6,779661017;3;NA;1;1;0;0;15343526,26
